 0.50  5750. -5.0  2.0   0.4739   0.4165   0.3149 
 1.00  5750. -5.0  2.0   0.4662   0.4098   0.3173 
 1.50  5750. -5.0  2.0   0.4641   0.4072   0.3184 
 2.00  5750. -5.0  2.0   0.4614   0.4027   0.3248 
 2.50  5750. -5.0  2.0   0.4582   0.3972   0.3335 
 3.00  5750. -5.0  2.0   0.4552   0.3921   0.3418 
 3.50  5750. -5.0  2.0   0.4512   0.3858   0.3516 
 4.00  5750. -5.0  2.0   0.4467   0.3796   0.3609 
 4.50  5750. -5.0  2.0   0.4380   0.3691   0.3765 
 5.00  5750. -5.0  2.0   0.4260   0.3549   0.3968 
 0.00  6000. -5.0  2.0   0.5187   0.4816   0.1986 
 0.50  6000. -5.0  2.0   0.5141   0.4795   0.1830 
 1.00  6000. -5.0  2.0   0.4661   0.4116   0.3001 
 1.50  6000. -5.0  2.0   0.4545   0.3958   0.3260 
 2.00  6000. -5.0  2.0   0.4529   0.3936   0.3272 
 2.50  6000. -5.0  2.0   0.4515   0.3911   0.3290 
 3.00  6000. -5.0  2.0   0.4496   0.3878   0.3330 
 3.50  6000. -5.0  2.0   0.4469   0.3832   0.3404 
 4.00  6000. -5.0  2.0   0.4452   0.3803   0.3441 
 4.50  6000. -5.0  2.0   0.4394   0.3731   0.3546 
 5.00  6000. -5.0  2.0   0.4301   0.3615   0.3729 
 0.50  6250. -5.0  2.0   0.5078   0.4698   0.1989 
 1.00  6250. -5.0  2.0   0.5036   0.4684   0.1829 
 1.50  6250. -5.0  2.0   0.4528   0.3957   0.3118 
 2.00  6250. -5.0  2.0   0.4445   0.3840   0.3298 
 2.50  6250. -5.0  2.0   0.4440   0.3834   0.3282 
 3.00  6250. -5.0  2.0   0.4432   0.3818   0.3288 
 3.50  6250. -5.0  2.0   0.4421   0.3796   0.3313 
 4.00  6250. -5.0  2.0   0.4402   0.3766   0.3356 
 4.50  6250. -5.0  2.0   0.4354   0.3702   0.3460 
 5.00  6250. -5.0  2.0   0.4307   0.3643   0.3541 
 0.50  6500. -5.0  2.0   0.5014   0.4591   0.2223 
 1.00  6500. -5.0  2.0   0.4961   0.4570   0.2018 
 1.50  6500. -5.0  2.0   0.4919   0.4553   0.1862 
 2.00  6500. -5.0  2.0   0.4387   0.3795   0.3222 
 2.50  6500. -5.0  2.0   0.4327   0.3707   0.3355 
 3.00  6500. -5.0  2.0   0.4340   0.3724   0.3296 
 3.50  6500. -5.0  2.0   0.4347   0.3726   0.3285 
 4.00  6500. -5.0  2.0   0.4344   0.3718   0.3292 
 4.50  6500. -5.0  2.0   0.4324   0.3689   0.3332 
