1.501   1.4709    -0.013    3.850    6210.0    2.36    2.7830   0.4596  4
1.501   1.4763    0.097    3.900    6894.0    2.22    2.2420   0.4202  4
1.502   1.5573    0.018    4.030    6737.0    2.45    2.0530   0.4330  4
1.502   1.6223    0.020    3.760    6315.0    2.39    2.9130   0.4655  4
1.502   1.6268    -0.104    3.770    6745.0    2.39    2.2480   0.4297  4
1.502   1.7349    0.088    4.170    6662.0    2.41    2.1600   0.4330  4
1.503   1.3044    -0.055    3.970    6616.0    2.08    2.4770   0.4441  4
1.503   1.4227    0.106    4.030    6615.0    2.58    2.0640   0.4497  4
1.503   1.4417    0.026    3.920    6924.0    2.58    2.1430   0.4202  4
1.503   1.4813    0.052    4.000    6627.0    2.26    2.3660   0.4330  4
1.503   1.4816    0.282    4.190    6767.0    2.61    2.0530   0.4364  4
1.503   1.5047    0.212    3.970    6226.0    2.30    2.5140   0.4714  4
1.503   1.5141    0.023    3.970    6514.0    2.80    2.1740   0.4480  4
1.503   1.5659    -0.032    3.890    6910.0    2.10    2.2420   0.4188  4
1.503   1.6042    -0.073    3.950    6874.0    2.67    2.0470   0.4308  4
1.503   1.6300    0.213    3.940    6781.0    2.51    2.1490   0.4364  4
1.503   1.7846    0.105    4.040    6507.0    2.68    2.1740   0.4497  4
1.504   1.4399    -0.010    4.070    6707.0    2.49    2.0530   0.4308  4
1.504   1.4714    0.305    3.880    6748.0    2.38    2.1490   0.4389  4
1.504   1.5198    -0.027    4.120    6658.0    2.63    2.1600   0.4308  4
1.504   1.5345    -0.187    3.870    6648.0    2.40    2.1600   0.4297  4
1.504   1.5614    -0.027    3.990    7059.0    2.17    2.1330   0.4188  4
1.504   1.7250    -0.041    3.840    6456.0    2.31    2.4940   0.4441  4
1.505   1.2041    0.118    4.010    6980.0    2.30    2.0390   0.4221  4
1.505   1.4895    0.150    4.100    7264.0    1.97    2.2200   0.4091  4
1.505   1.4939    0.135    3.930    6636.0    2.19    2.3660   0.4365  4
1.505   1.5622    0.246    4.100    6556.0    2.54    2.0640   0.4528  4
1.506   1.3694    0.208    4.090    6634.0    2.71    2.0640   0.4364  4
1.506   1.4352    -0.198    4.000    6945.0    2.41    2.0470   0.4183  4
1.506   1.4782    0.082    3.770    6463.0    2.11    2.4940   0.4480  4
1.507   0.0103    0.139    4.110    7335.0    2.07    2.0200   0.4091  4
1.507   1.4286    0.031    3.930    7011.0    2.47    2.1430   0.4202  4
1.507   1.4529    0.161    3.890    6486.0    2.46    2.3820   0.4497  4
1.507   1.4852    0.214    3.590    6190.0    2.27    3.0500   0.4668  4
1.507   1.5332    0.056    3.940    6923.0    2.03    2.3470   0.4202  4
1.507   1.7135    -0.115    4.050    7116.0    2.26    2.0390   0.4183  4
1.508   1.3254    0.052    3.940    6602.0    2.14    2.4770   0.4480  4
1.508   1.4391    -0.071    3.900    6767.0    2.29    2.2480   0.4308  4
1.508   1.4806    0.216    4.010    7192.0    2.09    2.0260   0.4100  4
1.509   1.3245    0.154    3.950    6736.0    2.05    2.4620   0.4365  4
1.509   1.4812    0.043    3.860    7051.0    2.13    2.2330   0.4202  4
1.509   1.6214    0.072    4.020    6909.0    1.98    2.4560   0.4202  4
1.510   1.3169    -0.131    3.910    6889.0    2.51    2.0470   0.4183  4
1.510   1.3301    0.132    3.780    6373.0    2.29    2.7540   0.4672  4
1.510   1.4114    0.047    4.030    6606.0    2.25    2.3660   0.4480  4
1.510   1.4634    -0.213    4.100    6641.0    2.35    2.1490   0.4273  4
1.510   1.5007    0.111    4.040    6743.0    2.63    2.0530   0.4365  4
1.510   1.6233    0.141    3.880    6791.0    2.57    2.0530   0.4365  4
1.510   1.6717    0.009    3.950    6695.0    2.46    2.0530   0.4330  4
1.511   1.3799    0.098    3.750    6380.0    2.39    2.4940   0.4439  4
1.511   1.4187    0.171    4.000    6551.0    2.42    2.1600   0.4497  4
1.511   1.5185    -0.056    4.050    6773.0    2.71    2.0520   0.4308  4
1.511   1.5724    -0.046    3.840    6915.0    2.24    2.3470   0.4188  4
1.511   1.5757    0.219    4.100    6550.0    2.73    2.0640   0.4528  4
1.511   1.6157    -0.014    3.960    6658.0    2.48    2.2610   0.4308  4
1.511   1.6673    0.124    4.080    6797.0    2.49    2.0530   0.4365  4
1.512   1.2383    -0.118    3.980    6417.0    2.35    2.2750   0.4429  4
1.512   1.3712    0.187    3.950    7250.0    2.17    2.0260   0.4091  4
1.512   1.4241    -0.135    3.910    6627.0    2.52    2.2610   0.4297  4
1.512   1.4514    0.113    3.810    6393.0    2.20    2.6110   0.4497  4
1.512   1.5709    -0.182    3.870    6419.0    2.31    2.3820   0.4429  4
1.512   1.5726    0.130    3.930    6691.0    2.66    2.0640   0.4365  4
1.512   1.6150    0.026    4.120    6924.0    2.40    2.0470   0.4202  4
1.512   1.6217    0.281    4.020    6565.0    2.51    2.2610   0.4528  4
1.512   1.6454    0.048    3.880    6921.0    2.44    2.0470   0.4202  4
1.512   1.6779    0.055    4.020    6614.0    2.65    2.0640   0.4480  4
1.513   1.5538    -0.125    4.040    6894.0    2.33    2.0470   0.4183  4
1.513   1.6323    -0.030    4.090    6890.0    1.97    2.3530   0.4188  4
1.513   1.6494    0.239    3.750    6326.0    2.43    2.6310   0.4668  4
1.513   1.7404    -0.013    3.720    6300.0    1.96    3.0190   0.4561  4
1.514   1.3371    0.008    3.910    6637.0    2.37    2.2610   0.4330  4
1.514   1.4145    -0.310    3.950    6719.0    2.25    2.1490   0.4276  4
1.514   1.4902    0.147    4.000    6804.0    2.09    2.4620   0.4365  4
1.514   1.5905    0.048    4.070    6547.0    2.74    2.0630   0.4480  4
1.514   1.6063    -0.012    4.140    6703.0    2.37    2.0520   0.4308  4
1.514   1.6985    -0.514    3.950    6595.0    2.41    2.1600   0.4340  4
1.515   1.1972    0.231    3.900    6735.0    2.20    2.2480   0.4364  4
1.515   1.3900    -0.144    4.050    7069.0    2.21    2.0390   0.4183  4
1.515   1.5066    -0.121    4.010    6489.0    2.42    2.3820   0.4429  4
1.515   1.5236    0.040    4.060    6404.0    2.59    2.2760   0.4480  4
1.515   1.5558    -0.119    4.030    7072.0    2.44    2.0390   0.4183  4
1.515   1.5739    -0.008    3.970    6385.0    2.83    2.0770   0.4441  4
1.515   1.6330    -0.028    4.060    6854.0    2.30    2.2480   0.4308  4
1.515   1.6526    0.002    3.680    6539.0    2.17    2.7330   0.4439  4
1.516   1.3880    0.175    3.830    6836.0    2.20    2.3530   0.4365  4
1.516   1.4835    -0.084    4.020    6647.0    2.73    2.1600   0.4308  4
1.516   1.5156    0.152    3.620    6244.0    2.44    2.7830   0.4631  4
1.517   1.4933    0.319    3.840    6348.0    2.20    2.7540   0.4759  4
1.517   1.6083    0.122    3.910    6369.0    2.64    2.1740   0.4672  4
1.518   1.3796    0.012    3.860    6753.0    2.37    2.2480   0.4330  4
1.518   1.3925    0.070    3.810    6509.0    2.06    2.4770   0.4480  4
1.518   1.4303    0.114    4.050    6400.0    2.55    2.2750   0.4497  4
1.518   1.4832    -0.083    3.850    6546.0    2.36    2.2610   0.4441  4
1.518   1.5510    -0.005    4.110    6952.0    2.43    2.1430   0.4188  4
1.519   1.2919    0.012    3.920    6626.0    2.65    2.0640   0.4330  4
1.519   1.4787    0.116    3.890    6710.0    2.60    2.1490   0.4365  4
1.519   1.5614    0.021    4.040    6900.0    2.34    2.1430   0.4202  4
1.519   1.6197    -0.120    3.950    6440.0    2.74    2.0770   0.4429  4
1.520   1.3031    -0.259    3.780    7117.0    2.13    2.0380   0.4160  4
1.520   1.3917    -0.085    3.970    6482.0    2.37    2.1740   0.4441  4
1.520   1.3982    0.043    3.890    6544.0    2.12    2.6110   0.4480  4
1.520   1.4587    -0.036    3.880    6626.0    2.62    2.0640   0.4308  4
1.520   1.4801    0.219    3.730    6407.0    2.47    2.2760   0.4484  4
1.520   1.5311    -0.212    4.000    6856.0    2.10    2.4620   0.4273  4
1.520   1.5401    0.019    3.950    7265.0    2.26    2.0260   0.4091  4
1.520   1.5458    0.008    3.940    6684.0    2.41    2.2480   0.4330  4
1.520   1.6443    -0.040    4.070    6423.0    2.54    2.2750   0.4441  4
1.521   1.4659    0.013    4.000    6967.0    2.45    2.1430   0.4202  4
1.521   1.4825    -0.153    4.110    6455.0    2.81    2.1740   0.4429  4
1.521   1.4918    0.118    3.980    6420.0    2.52    2.2760   0.4497  4
1.521   1.5933    -0.153    3.930    6566.0    2.49    2.3670   0.4429  4
1.521   1.6127    0.067    3.950    6793.0    2.50    2.0520   0.4330  4
1.521   1.6226    -0.075    4.050    6608.0    2.67    2.0640   0.4441  4
1.521   1.6312    0.108    3.990    6975.0    2.31    2.2430   0.4221  4
